"Story","Title","Result","Date","Stability","Duration (s)"
"Title of your feature","Buscar el producto en el buscador de OLX exitoso Apartamento En Venta En Sabaneta La Florida CodVBSUR10646","ERROR","2021-06-09T10:59:12.239-05:00[America/Bogota]","0.0","29.44"
"Title of your feature","Buscar un producto aleatorio en OLX exitoso","ERROR","2021-06-09T10:58:51.892-05:00[America/Bogota]","0.0","16.85"
